CodigoProvincia-CodigoMunicipio;NombreMunicipio;Población
47-217;Villanubla;2713
47-218;Villanueva de Duero;1184
47-219;Villanueva de la Condesa;61
47-220;Villanueva de los Caballeros;175
47-221;Villanueva de los Infantes;102
47-222;Villanueva de San Mancio;87
47-223;Villardefrades;170
47-224;Villarmentero de Esgueva;111
47-225;Villasexmir;75
47-226;Villavaquerín;159
47-227;Villavellid;57
47-228;Villaverde de Medina;533
47-229;Villavicencio de los Caballeros;245
47-194;Viloria;340
47-230;Wamba;323
47-231;Zaratán;6233
47-232;Zarza, La;111
